vrp;policy;delay;throughput
10;trafficLights;19.75470588235294;11
20;trafficLights;21.519411764705882;21
30;trafficLights;22.41;29.5
40;trafficLights;22.52731343283582;40
50;trafficLights;26.634736842105262;46
60;trafficLights;28.67918918918919;45.5
70;trafficLights;34.6869696969697;41.5
80;trafficLights;43.150919540229886;56.5
90;trafficLights;41.32333333333334;52.5
100;trafficLights;49.58154929577465;50
110;trafficLights;58.42661971830986;54.5
120;trafficLights;61.18354838709677;51
130;trafficLights;72.42478260869565;44
140;trafficLights;69.47837209302325;43.5
150;trafficLights;67.0277358490566;51.5
160;trafficLights;77.87095238095239;51.5
170;trafficLights;85.57695652173913;54
180;trafficLights;78.96619047619048;49.5
190;trafficLights;87.94;55.5
200;trafficLights;79.25666666666667;50.5
10;fcfs;7.832105263157895;10
20;fcfs;7.726842105263158;19.5
30;fcfs;7.865;30
40;fcfs;8.044054054054055;39.5
50;fcfs;8.351702127659575;49.5
60;fcfs;8.361681415929205;59.5
70;fcfs;8.531353383458647;69
80;fcfs;9.341351351351351;80
90;fcfs;9.387590361445785;89.5
100;fcfs;11.709101123595504;96
110;fcfs;13.197253886010364;105
120;fcfs;11.467272727272729;117
130;fcfs;16.380697674418606;118
140;fcfs;18.927777777777777;123
150;fcfs;23.8452036199095;122
160;fcfs;27.22004694835681;122
170;fcfs;32.59952380952381;122
180;fcfs;34.039180327868856;109
190;fcfs;42.39;123
200;fcfs;41.636464646464646;125.5
